YearsExperience,Education,JobRole,OrgSize,Location,Age,Gender,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith
11.0,"Other doctoral degree (Ph.D., Ed.D., etc.)","Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Educator",500 to 999 employees,Viet Nam,25-34 years old,Man,55000000.0,,VND	Vietnamese dong,C;C#;C++;Java;JavaScript;Node.js;PHP;Python;SQL
3.0,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,18-24 years old,Man,2000.0,Monthly,USD	United States dollar,Bash/Shell;C#;Node.js;PowerShell;Python;TypeScript
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,25-34 years old,Man,21000000.0,Monthly,VND	Vietnamese dong,Dart;Java;Kotlin;Swift
5.0,Some college/university study without earning a degree,"Developer, back-end;Database administrator;Developer, QA or test;System administrator",100 to 499 employees,Viet Nam,18-24 years old,Man,16000000.0,Monthly,VND	Vietnamese dong,C#;HTML/CSS;Java;PowerShell;Python;SQL
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,18-24 years old,Man,30000000.0,Monthly,VND	Vietnamese dong,Java;JavaScript
10.0,Some college/university study without earning a degree,"Developer, full-stack;Developer, back-end","10,000 or more employees",Viet Nam,18-24 years old,Man,11000000.0,Monthly,VND	Vietnamese dong,C#;C++;COBOL;Java;JavaScript;SQL
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data;Data scientist or machine learning specialist;Data or business analyst",100 to 499 employees,Viet Nam,18-24 years old,Man,10000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;Java;JavaScript;Node.js;PHP;Python
6.0,Some college/university study without earning a degree,"Developer, front-end",100 to 499 employees,Viet Nam,25-34 years old,Man,30000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;TypeScript
4.0,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack",500 to 999 employees,Viet Nam,18-24 years old,Man,10000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Node.js;Python
8.0,"Associate degree (A.A., A.S., etc.)","Developer, mobile;Developer, front-end;Developer, embedded applications or devices",20 to 99 employees,Viet Nam,18-24 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,Java;JavaScript;Kotlin
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):;Academic researcher,500 to 999 employees,Viet Nam,18-24 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,Assembly;C;C++;Go;JavaScript;Kotlin;Objective-C;Python
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,25-34 years old,Woman,30000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;PHP;TypeScript
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data;Developer, back-end;Student",100 to 499 employees,Viet Nam,18-24 years old,Man,20000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;Python
